Name,Version,License,Summary,Home-Page
accelerate,1.11.0,Apache,Accelerate,https://github.com/huggingface/accelerate
aiohappyeyeballs,2.6.1,PSF-2.0,Happy Eyeballs for asyncio,
aiohttp,3.13.1,MIT,Async http client/server framework (asyncio),
aiosignal,1.4.0,Apache-2.0,aiosignal: a list of registered asynchronous callbacks,https://github.com/aio-libs/aiosignal
alembic,1.13.3,MIT,A database migration tool for SQLAlchemy.,https://alembic.sqlalchemy.org
annotated-types,0.7.0,MIT,Reusable constraint types to use with typing.Annotated,
antlr4-python3-runtime,4.9.3,BSD,ANTLR 4.9.3 runtime for Python 3.7,http://www.antlr.org
anyio,4.11.0,Unknown,High-level concurrency and networking framework on top of asyncio or Trio,
asyncpg,0.30.0,Apache-2.0,An asyncio PostgreSQL driver,
attrs,25.4.0,Unknown,Classes Without Boilerplate,
av,16.0.1,Unknown,Pythonic bindings for FFmpeg's libraries.,
beautifulsoup4,4.14.2,MIT,Screen-scraping library,
certifi,2025.10.5,MPL-2.0,Python package for providing Mozilla's CA Bundle.,https://github.com/certifi/python-certifi
cffi,2.0.0,Unknown,Foreign Function Interface for Python calling C code.,
charset-normalizer,3.4.4,MIT,"The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet.",
click,8.3.0,Unknown,Composable command line interface toolkit,
coloredlogs,15.0.1,MIT,Colored terminal output for Python's logging module,https://coloredlogs.readthedocs.io
colorlog,6.10.1,MIT,Add colours to the output of Python's logging module.,https://github.com/borntyping/python-colorlog
coverage,7.11.0,Apache-2.0,Code coverage measurement for Python,https://github.com/nedbat/coveragepy
cryptography,46.0.3,Unknown,cryptography is a package which provides cryptographic recipes and primitives to Python developers.,
ctranslate2,4.6.0,MIT,Fast inference engine for Transformer models,https://opennmt.net
Deprecated,1.2.18,MIT,"Python @deprecated decorator to deprecate old python classes, functions or methods.",https://github.com/laurent-laporte-pro/deprecated
dill,0.4.0,BSD-3-Clause,serialize all of Python,https://github.com/uqfoundation/dill
